Date,Open,High,Low,Close,Adj Close,Volume
2021-03-26,51.279999,52.470001,49.529999,50.869999,50.869999,271900
2021-03-29,49.790001,50.619999,48.750000,49.529999,49.529999,411200
2021-03-30,49.480000,52.060001,48.299999,49.849998,49.849998,442600
2021-03-31,50.119999,52.570000,50.119999,51.240002,51.240002,1152600
2021-04-01,51.250000,53.580002,49.889999,50.880001,50.880001,722500
2021-04-05,51.869999,52.639999,49.360001,49.599998,49.599998,246500
2021-04-06,49.660000,50.160000,48.540001,48.770000,48.770000,302200
2021-04-07,48.849998,49.980000,47.900002,48.000000,48.000000,258300
2021-04-08,48.340000,49.650002,48.340000,49.119999,49.119999,452200
2021-04-09,48.740002,49.820000,48.290001,49.410000,49.410000,404400
2021-04-12,49.340000,49.849998,45.980000,46.310001,46.310001,579000
2021-04-13,46.369999,48.099998,46.130001,47.180000,47.180000,667700
2021-04-14,47.580002,49.580002,47.189999,47.340000,47.340000,385100
2021-04-15,47.459999,49.080002,46.430000,47.150002,47.150002,330900
2021-04-16,47.740002,48.580002,46.380001,46.540001,46.540001,314700
2021-04-19,46.279999,46.709999,44.369999,44.799999,44.799999,476700
2021-04-20,44.320000,45.810001,44.320000,45.290001,45.290001,450100
2021-04-21,45.160000,46.740002,44.279999,46.430000,46.430000,485200
2021-04-22,46.439999,47.080002,44.919998,46.259998,46.259998,846200
2021-04-23,46.459999,46.660000,44.849998,45.900002,45.900002,413100
2021-04-26,46.419998,48.000000,45.759998,47.360001,47.360001,674000
2021-04-27,47.160000,47.680000,45.580002,45.959999,45.959999,354000
2021-04-28,45.419998,46.750000,44.599998,46.000000,46.000000,366500
2021-04-29,46.009998,46.090000,44.740002,45.000000,45.000000,465900
2021-04-30,45.580002,49.599998,45.160000,48.330002,48.330002,965400
2021-05-03,48.490002,49.040001,46.790001,48.820000,48.820000,513600
2021-05-04,47.919998,48.660000,17.200001,26.629999,26.629999,25353200
2021-05-05,26.040001,29.500000,24.620001,27.490000,27.490000,6475800
2021-05-06,27.490000,27.490000,27.490000,27.490000,27.490000,4200
2021-05-07,12.020000,12.150000,9.550000,10.460000,10.460000,41433900
2021-05-10,11.320000,12.270000,10.600000,10.970000,10.970000,18365200
2021-05-11,10.780000,11.040000,10.290000,10.750000,10.750000,5963200
2021-05-12,10.620000,11.040000,9.960000,10.050000,10.050000,5340500
2021-05-13,10.190000,10.420000,9.610000,9.970000,9.970000,3975400
2021-05-14,10.110000,10.790000,9.920000,10.440000,10.440000,3065500
2021-05-17,10.260000,10.400000,9.780000,9.890000,9.890000,3019000
2021-05-18,9.920000,10.670000,9.920000,10.360000,10.360000,2602500
2021-05-19,10.100000,10.150000,9.850000,9.960000,9.960000,2469300
2021-05-20,10.060000,10.270000,9.820000,10.060000,10.060000,2199500
2021-05-21,10.100000,10.130000,9.550000,9.590000,9.590000,3874700
2021-05-24,9.670000,9.980000,9.560000,9.810000,9.810000,2284700
2021-05-25,9.820000,9.900000,9.530000,9.670000,9.670000,2247800
2021-05-26,9.740000,9.810000,9.570000,9.770000,9.770000,1673300
2021-05-27,9.760000,10.430000,9.750000,10.410000,10.410000,2535300
2021-05-28,10.410000,10.690000,10.130000,10.150000,10.150000,1631900
2021-06-01,10.180000,10.360000,9.960000,10.160000,10.160000,1392100
2021-06-02,10.250000,10.530000,9.910000,10.200000,10.200000,2526500
2021-06-03,10.100000,10.270000,9.950000,9.980000,9.980000,1470900
2021-06-04,10.000000,10.240000,10.000000,10.030000,10.030000,1198000
2021-06-07,10.060000,10.900000,10.010000,10.720000,10.720000,2817800
2021-06-08,11.400000,11.880000,10.760000,10.940000,10.940000,3859700
2021-06-09,11.130000,11.490000,10.980000,11.180000,11.180000,2695400
2021-06-10,11.330000,11.740000,11.120000,11.540000,11.540000,3607300
2021-06-11,13.060000,13.730000,12.020000,12.180000,12.180000,7433900
2021-06-14,12.310000,13.840000,12.300000,13.170000,13.170000,7593300
2021-06-15,13.050000,13.320000,12.410000,12.810000,12.810000,4466800
2021-06-16,12.530000,13.350000,12.530000,13.240000,13.240000,3566700
2021-06-17,13.120000,14.230000,13.010000,13.530000,13.530000,4741200
2021-06-18,13.170000,13.710000,12.790000,13.510000,13.510000,8413400
2021-06-21,13.330000,13.480000,12.610000,13.060000,13.060000,3195600
2021-06-22,13.010000,13.130000,12.640000,12.890000,12.890000,2893600
2021-06-23,12.900000,13.190000,12.160000,12.760000,12.760000,3235000
2021-06-24,12.820000,13.460000,12.820000,13.060000,13.060000,2817300
2021-06-25,13.080000,13.870000,12.950000,13.770000,13.770000,6361600
2021-06-28,14.680000,14.800000,13.670000,14.290000,14.290000,5630800
2021-06-29,14.220000,14.420000,13.810000,14.090000,14.090000,2642000
2021-06-30,13.910000,14.020000,13.250000,13.390000,13.390000,2956200
2021-07-01,13.460000,13.720000,12.890000,13.200000,13.200000,2763900
2021-07-02,13.240000,13.490000,12.710000,13.180000,13.180000,2259600
2021-07-06,13.540000,14.750000,13.200000,14.050000,14.050000,13303200
2021-07-07,14.380000,14.980000,13.610000,14.470000,14.470000,6523700
2021-07-08,13.660000,15.140000,13.510000,15.100000,15.100000,3867200
2021-07-09,15.160000,17.129999,14.920000,16.770000,16.770000,6671400
2021-07-12,16.469999,18.139999,16.379999,17.340000,17.340000,6080700
2021-07-13,16.940001,17.250000,16.150000,16.290001,16.290001,3269300
2021-07-14,16.250000,16.330000,15.400000,15.720000,15.720000,2485800
2021-07-15,15.590000,15.820000,14.940000,15.490000,15.490000,2141400
2021-07-16,15.700000,16.440001,15.390000,15.850000,15.850000,2396500
2021-07-19,15.540000,15.920000,15.210000,15.630000,15.630000,1402000
2021-07-20,15.680000,16.469999,15.550000,16.120001,16.120001,1723000
